      #Energy        TDOS
       9.32538      37.90233
       9.36238      38.00045
       9.39838      38.08856
       9.43538      38.18191
       9.47138      38.28900
       9.50838      38.39197
       9.54438      38.48301
       9.58038      38.57356
       9.61738      38.66319
       9.65338      38.74521
       9.69038      38.82501
       9.72638      38.91261
       9.76238      39.00797
       9.79938      39.10760
       9.83538      39.21520
       9.87238      39.32756
       9.90838      39.43757
       9.94438      39.55479
       9.98138      39.68149
      10.01738      39.79501
      10.05438      39.88327
      10.09038      39.96260
      10.12638      40.05381
      10.16338      40.16642
      10.19938      40.30197
      10.23638      40.45512
      10.27238      40.61133
      10.30938      40.75738
      10.34538      40.89727
      10.38138      41.03911
      10.41838      41.17665
      10.45438      41.30402
      10.49138      41.43053
      10.52738      41.56744
      10.56338      41.70965
      10.60038      41.83612
      10.63638      41.94116
      10.67338      42.04469
      10.70938      42.15426
      10.74538      42.25484
      10.78238      42.34238
      10.81838      42.43701
      10.85538      42.56038
      10.89138      42.71082
      10.92738      42.86159
      10.96438      42.99712
      11.00038      43.13030
      11.03738      43.27062
      11.07338      43.41325
      11.10938      43.54844
      11.14638      43.66833
      11.18238      43.78096
      11.21938      43.89974
      11.25538      44.01971
      11.29238      44.13021
      11.32838      44.23377
      11.36438      44.33290
      11.40138      44.42496
      11.43738      44.51764
      11.47438      44.62460
      11.51038      44.74868
      11.54638      44.88780
      11.58338      45.03888
      11.61938      45.19442
      11.65638      45.34675
      11.69238      45.47981
      11.72838      45.58284
      11.76538      45.67108
      11.80138      45.77304
      11.83838      45.90572
      11.87438      46.05714
      11.91038      46.19850
      11.94738      46.31245
      11.98338      46.41493
      12.02038      46.54218
      12.05638      46.69799
      12.09338      46.84488
      12.12938      46.95804
      12.16538      47.04816
      12.20238      47.13961
      12.23838      47.25360
      12.27538      47.40300
      12.31138      47.57851
      12.34738      47.74945
      12.38438      47.89530
      12.42038      48.02155
      12.45738      48.15291
      12.49338      48.31187
      12.52938      48.48256
      12.56638      48.62919
      12.60238      48.75489
      12.63938      48.89052
      12.67538      49.04545
      12.71138      49.19861
      12.74838      49.33814
      12.78438      49.47515
      12.82138      49.60789
      12.85738      49.72191
      12.89438      49.82039
      12.93038      49.92494
      12.96638      50.05084
      13.00338      50.19418
      13.03938      50.33874
      13.07638      50.47114
      13.11238      50.58498
      13.14838      50.68650
      13.18538      50.79423
      13.22138      50.91977
      13.25838      51.06466
      13.29438      51.22156
      13.33038      51.37952
      13.36738      51.53639
      13.40338      51.68608
      13.44038      51.82220
      13.47638      51.95099
      13.51238      52.07702
      13.54938      52.20678
      13.58538      52.34969
      13.62238      52.49417
      13.65838      52.61940
      13.69538      52.73070
      13.73138      52.84333
      13.76738      52.95687
      13.80438      53.07196
      13.84038      53.19442
      13.87738      53.31770
      13.91338      53.42491
      13.94938      53.50848
      13.98638      53.57973
      14.02238      53.65814
      14.05938      53.74920
      14.09538      53.84293
      14.13138      53.93627
      14.16838      54.03806
      14.20438      54.15228
      14.24138      54.27268
      14.27738      54.39287
      14.31338      54.51105
      14.35038      54.62737
      14.38638      54.74334
      14.42338      54.87417
      14.45938      55.03220
      14.49538      55.18949
      14.53238      55.31390
      14.56838      55.41593
      14.60538      55.52539
      14.64138      55.66009
      14.67838      55.81637
      14.71438      55.97710
      14.75038      56.13442
      14.78738      56.29638
      14.82338      56.46288
      14.86038      56.61356
      14.89638      56.74634
      14.93238      56.87923
      14.96938      57.01165
      15.00538      57.13235
      15.04238      57.23562
      15.07838      57.32862
      15.11438      57.42835
      15.15138      57.53787
      15.18738      57.64347
      15.22438      57.73449
      15.26038      57.81128
      15.29638      57.88367
      15.33338      57.96144
      15.36938      58.04586
      15.40638      58.14189
      15.44238      58.26100
      15.47938      58.40466
      15.51538      58.57926
      15.55138      58.79595
      15.58838      59.03291
      15.62438      59.24731
      15.66138      59.41735
      15.69738      59.55050
      15.73338      59.67351
      15.77038      59.81051
      15.80638      59.96148
      15.84338      60.11314
      15.87938      60.26143
      15.91538      60.40976
      15.95238      60.55684
      15.98838      60.69910
      16.02538      60.83689
      16.06138      60.97577
      16.09738      61.11443
      16.13438      61.24503
      16.17038      61.35888
      16.20738      61.45435
      16.24338      61.54062
      16.28038      61.62534
      16.31638      61.71545
      16.35238      61.81195
      16.38938      61.90569
      16.42538      61.98495
      16.46238      62.04544
      16.49838      62.09273
      16.53438      62.13344
      16.57138      62.17028
      16.60738      62.20681
      16.64438      62.24453
      16.68038      62.27768
      16.71638      62.30599
      16.75338      62.33855
      16.78938      62.37843
      16.82638      62.42158
      16.86238      62.46341
      16.89838      62.49936
      16.93538      62.52965
      16.97138      62.55470
      17.00838      62.57447
      17.04438      62.59826
      17.08138      62.63807
      17.11738      62.69517
      17.15338      62.75831
      17.19038      62.81188
      17.22638      62.85101
      17.26338      62.88432
      17.29938      62.92059
      17.33538      62.96022
      17.37238      62.99914
      17.40838      63.04714
      17.44538      63.12460
      17.48138      63.21588
      17.51738      63.27892
      17.55438      63.30730
      17.59038      63.32172
      17.62738      63.33692
      17.66338      63.35684
      17.69938      63.37476
      17.73638      63.38498
      17.77238      63.39057
      17.80938      63.39771
      17.84538      63.40963
      17.88238      63.42442
      17.91838      63.43655
      17.95438      63.44267
      17.99138      63.44534
      18.02738      63.44902
      18.06438      63.45609
      18.10038      63.46886
      18.13638      63.48684
      18.17338      63.50237
      18.20938      63.51072
      18.24638      63.51559
      18.28238      63.51956
      18.31838      63.52242
      18.35538      63.52711
      18.39138      63.53780
      18.42838      63.55337
      18.46438      63.56726
      18.50038      63.57502
      18.53738      63.57882
      18.57338      63.58405
      18.61038      63.59414
      18.64638      63.60735
      18.68238      63.61795
      18.71938      63.62539
      18.75538      63.63516
      18.79238      63.64689
      18.82838      63.65615
      18.86538      63.66453
      18.90138      63.67524
      18.93738      63.68652
      18.97438      63.69583
      19.01038      63.70532
      19.04738      63.71901
      19.08338      63.73472
      19.11938      63.74860
      19.15638      63.76162
      19.19238      63.77264
      19.22938      63.78021
      19.26538      63.78767
      19.30138      63.79858
      19.33838      63.81512
      19.37438      63.83563
      19.41138      63.85439
      19.44738      63.86929
      19.48338      63.88303
      19.52038      63.90014
      19.55638      63.92682
      19.59338      63.96100
      19.62938      63.98726
      19.66638      63.99770
      19.70238      63.99962
      19.73838      63.99977
      19.77538      63.99978
      19.81138      63.99978
      19.84838      63.99978
      19.88438      63.99978
      19.92038      63.99978
      19.95738      63.99978
      19.99338      63.99978
      20.03038      63.99978
      20.06638      63.99978
      20.10238      63.99978
      20.13938      63.99978
      20.17538      63.99978
      20.21238      63.99978
      20.24838      63.99978
      20.28438      63.99978
      20.32138      63.99978
      20.35738      63.99978
      20.39438      63.99978
      20.43038      63.99978
      20.46738      63.99978
      20.50338      63.99978
      20.53938      63.99978
      20.57638      63.99978
      20.61238      63.99978
      20.64938      63.99978
      20.68538      63.99978
      20.72138      63.99978
      20.75838      63.99978
      20.79438      63.99978
      20.83138      63.99978
      20.86738      63.99978
      20.90338      63.99978
      20.94038      63.99978
      20.97638      63.99978
      21.01338      63.99978
      21.04938      63.99978
      21.08538      63.99978
      21.12238      63.99978
      21.15838      63.99978
      21.19538      63.99978
      21.23138      63.99978
