      #Energy        TDOS
      -9.49762       0.25600
      -9.46062       0.27530
      -9.42462       0.23690
      -9.38862       0.20790
      -9.35162       0.26960
      -9.31562       0.29070
      -9.27862       0.20890
      -9.24262       0.20090
      -9.20662       0.30680
      -9.16962       0.28800
      -9.13362       0.18200
      -9.09662       0.23280
      -9.06062       0.33600
      -9.02362       0.25900
      -8.98762       0.19480
      -8.95162       0.29180
      -8.91462       0.32630
      -8.87862       0.24500
      -8.84162       0.25960
      -8.80562       0.32960
      -8.76962       0.31290
      -8.73262       0.28570
      -8.69662       0.33630
      -8.65962       0.36200
      -8.62362       0.34570
      -8.58762       0.39520
      -8.55062       0.42940
      -8.51462       0.46960
      -8.47762       0.56640
      -8.44162       0.75040
      -8.40562       1.00700
      -8.36862       0.90980
      -8.33262       0.40130
      -8.29562       0.07449
      -8.25962       0.00544
      -8.22362       0.00015
      -8.18662       0.00000
      -8.15062       0.00000
      -8.11362       0.00000
      -8.07762       0.00000
      -8.04062       0.00000
      -8.00462       0.00000
      -7.96862       0.00000
      -7.93162       0.00000
      -7.89562       0.00000
      -7.85862       0.00000
      -7.82262       0.00000
      -7.78662       0.00000
      -7.74962       0.00000
      -7.71362       0.00000
      -7.67662       0.00000
      -7.64062       0.00000
      -7.60462       0.00000
      -7.56762       0.00000
      -7.53162       0.00000
      -7.49462       0.00000
      -7.45862       0.00000
      -7.42262       0.00000
      -7.38562       0.00000
      -7.34962       0.00000
      -7.31262       0.00000
      -7.27662       0.00000
      -7.23962       0.00000
      -7.20362       0.00000
      -7.16762       0.00000
      -7.13062       0.00000
      -7.09462       0.00000
      -7.05762       0.00000
      -7.02162       0.00000
      -6.98562       0.00000
      -6.94862       0.00000
      -6.91262       0.00000
      -6.87562       0.00000
      -6.83962       0.00000
      -6.80362       0.00000
      -6.76662       0.00000
      -6.73062       0.00000
      -6.69362       0.00000
      -6.65762       0.00000
      -6.62162       0.00000
      -6.58462       0.00000
      -6.54862       0.00000
      -6.51162       0.00000
      -6.47562       0.00000
      -6.43862       0.00000
      -6.40262       0.00000
      -6.36662       0.00000
      -6.32962       0.00000
      -6.29362       0.00000
      -6.25662       0.00000
      -6.22062       0.00000
      -6.18462       0.00000
      -6.14762       0.00000
      -6.11162       0.00000
      -6.07462       0.00000
      -6.03862       0.00000
      -6.00262       0.00000
      -5.96562       0.00000
      -5.92962       0.00000
      -5.89262       0.00000
      -5.85662       0.00000
      -5.82062       0.00000
      -5.78362       0.00000
      -5.74762       0.00000
      -5.71062       0.00001
      -5.67462       0.00049
      -5.63762       0.01438
      -5.60162       0.16270
      -5.56562       0.73480
      -5.52862       1.43600
      -5.49262       1.45200
      -5.45562       1.07200
      -5.41962       0.83750
      -5.38362       0.70930
      -5.34662       0.62200
      -5.31062       0.60670
      -5.27362       0.54750
      -5.23762       0.48950
      -5.20162       0.52310
      -5.16462       0.63930
      -5.12862       0.89050
      -5.09162       1.41700
      -5.05562       1.98600
      -5.01962       2.00300
      -4.98262       1.58500
      -4.94662       1.54200
      -4.90962       2.05200
      -4.87362       2.26500
      -4.83762       1.95300
      -4.80062       1.81600
      -4.76462       2.52500
      -4.72762       3.47800
      -4.69162       3.12100
      -4.65462       2.20300
      -4.61862       2.06300
      -4.58262       2.41900
      -4.54562       2.72500
      -4.50962       2.87200
      -4.47262       3.09900
      -4.43662       3.67700
      -4.40062       4.57900
      -4.36362       4.78100
      -4.32762       3.87100
      -4.29062       2.61400
      -4.25462       1.71200
      -4.21862       1.21900
      -4.18162       1.19900
      -4.14562       1.27700
      -4.10862       1.18200
      -4.07262       1.17300
      -4.03662       1.13600
      -3.99962       1.21300
      -3.96362       1.45000
      -3.92662       1.95200
      -3.89062       2.34700
      -3.85362       1.98600
      -3.81762       1.42800
      -3.78162       1.23100
      -3.74462       1.23600
      -3.70862       1.66000
      -3.67162       2.76400
      -3.63562       3.79000
      -3.59962       3.86300
      -3.56262       3.58000
      -3.52662       3.31500
      -3.48962       2.93600
      -3.45362       2.79400
      -3.41762       2.79200
      -3.38062       2.42700
      -3.34462       2.02400
      -3.30762       2.03900
      -3.27162       2.39500
      -3.23562       2.48900
      -3.19862       2.40800
      -3.16262       2.52600
      -3.12562       2.72000
      -3.08962       3.12500
      -3.05262       3.60600
      -3.01662       3.37500
      -2.98062       2.72700
      -2.94362       2.53900
      -2.90762       2.73700
      -2.87062       2.98800
      -2.83462       3.36600
      -2.79862       3.20600
      -2.76162       2.55600
      -2.72562       2.72500
      -2.68862       3.18500
      -2.65262       2.86600
      -2.61662       2.43000
      -2.57962       2.35500
      -2.54362       2.05000
      -2.50662       1.38600
      -2.47062       1.28300
      -2.43462       1.79800
      -2.39762       1.97700
      -2.36162       1.55200
      -2.32462       1.20600
      -2.28862       1.18100
      -2.25162       1.20400
      -2.21562       1.17000
      -2.17962       1.21400
      -2.14262       1.48900
      -2.10662       2.06500
      -2.06962       2.59600
      -2.03362       2.72400
      -1.99762       2.53500
      -1.96062       2.25400
      -1.92462       2.19600
      -1.88762       2.29200
      -1.85162       2.26600
      -1.81562       1.91700
      -1.77862       1.58800
      -1.74262       2.05900
      -1.70562       3.34700
      -1.66962       4.05500
      -1.63362       3.43600
      -1.59662       2.72200
      -1.56062       2.46000
      -1.52362       2.43500
      -1.48762       2.78600
      -1.45062       3.11000
      -1.41462       3.23600
      -1.37862       3.29100
      -1.34162       3.03200
      -1.30562       2.75700
      -1.26862       2.57800
      -1.23262       2.27600
      -1.19662       2.19600
      -1.15962       2.57300
      -1.12362       3.43100
      -1.08662       4.42600
      -1.05062       4.68800
      -1.01462       4.13600
      -0.97762       3.35400
      -0.94162       3.41800
      -0.90462       4.50700
      -0.86862       4.53400
      -0.83262       2.87200
      -0.79562       1.58300
      -0.75962       1.29800
      -0.72262       1.22100
      -0.68662       0.88800
      -0.65062       0.59570
      -0.61362       0.59700
      -0.57762       0.66700
      -0.54062       0.54050
      -0.50462       0.36310
      -0.46762       0.48490
      -0.43162       0.77820
