doping,sigma_xx,sigma_yy,sigma_zz,S_xx,S_yy,S_zz,kappa_e_xx,kappa_e_yy,kappa_e_zz,mu_overall_xx,mu_overall_yy,mu_overall_zz,mu_IMP_xx,mu_IMP_yy,mu_IMP_zz,mu_ADP_xx,mu_ADP_yy,mu_ADP_zz,mu_POP_xx,mu_POP_yy,mu_POP_zz
1.1006941712522125e+17,3566.2722904972916,3461.133013853141,5876.617309348745,227.54803107334848,224.5337852060559,247.3482447946645,0.4035904322914913,0.3859319042306405,0.6398823105887506,819.1964197908779,794.3637868536499,1374.9298797586898,93331.39401234545,97891.00441957181,146224.07206845394,5541.962210351925,4838.137453650491,11070.769836778638,1048.5747034474919,1072.5872854288905,1710.8671013281617
1.211527658628585e+17,3618.590800930219,3511.6065250321053,5972.760581593138,242.50925684760347,239.3880612027995,261.6453425032742,0.3964913766756884,0.3791077178923786,0.6283219177577813,816.8988760646782,792.1108505614486,1371.9521113217936,85221.48888588604,88926.08264757557,133907.76496281047,5541.294248852194,4837.553264863465,11069.836828404785,1048.5022007918635,1072.5142144713034,1710.7868287371923
1.3335214321633238e+17,3681.4542099963514,3572.2963504691256,6087.073845950799,257.9630386679279,254.7318319448623,276.3609763072325,0.3885274846434524,0.37145188035389853,0.6154051493442075,814.4760065352026,789.736022150154,1368.79685668031,77903.17178781198,80859.81657769976,122794.76602557696,5540.541886078087,4836.895238917609,11068.785804224352,1048.4205854101401,1072.4319588813437,1710.6964675277666
1.4677992676220733e+17,3756.642921039457,3644.929449923648,6222.553839228469,273.7551554443887,270.4117901366469,291.3414069340799,0.37966500792029223,0.3629316404632026,0.601088178611751,811.9327566867477,787.2442677774978,1365.4679885030898,71306.55027523825,73617.95064676207,112775.2088329324,5539.694191999804,4836.153808198575,11067.601448679607,1048.3286901856661,1072.3393422074184,1710.594725876058
1.6155980984398694e+17,3846.1479843558386,3731.4369588607874,6382.553083849413,289.69803332147137,286.2414178598226,306.4023989477026,0.3698930978425137,0.35353614930654875,0.5853643777966197,809.2760468891008,784.6424759565411,1361.9719277124093,65367.05927579932,67130.38871232276,103747.85370740734,5538.739000772238,4835.318321649622,11066.266703823232,1048.2252197114185,1072.2350586382627,1710.4801698464892
1.7782794100389226e+17,3952.1717504394155,3833.9547467241937,6570.782849866981,305.5745984677332,302.0048074152628,321.3334599020221,0.3592298942875093,0.34328229720575737,0.5682734467695423,806.5146336347036,781.9393158822112,1358.3175425822114,60024.80361583608,61330.424870309966,95619.19761784602,5537.662860020731,4834.376999698843,11064.762696142132,1048.108746641259,1072.1176693178743,1710.351219667035
1.9573417814876653e+17,4077.124186699785,3954.819758350761,6791.309317320796,321.1457328840195,317.4640698581454,335.9054228147909,0.347727455507574,0.3322194403539578,0.5499085510364111,803.6587823147469,779.1449117281524,1354.515800923921,55223.95503852485,56154.23397157786,88302.6174433248,5536.450979722537,4833.316888678078,11063.068658999207,1047.9777079696107,1071.9855985708664,1710.206145450264
2.1544346900318778e+17,4223.615261405128,4096.5625366339555,7048.543450038386,336.161043639483,332.3700456059502,349.8810035397832,0.3354746678508065,0.32043219127580486,0.5304201795826671,800.7197789668245,776.2703603866647,1350.5792005670426,50912.29933707331,51540.700718397195,81717.68636556443,5535.087190071774,4832.12382290362,11061.161867894798,1047.830402890609,1071.8371317217059,1710.0430648894992
2.371373705661655e+17,4394.4419407900305,4261.894526740269,7347.221785659199,350.37191296387493,346.4752918248525,363.02728163358194,0.32259756728159583,0.3080407286043958,0.5100159295451447,797.7093664123704,773.3271766885814,1346.5210813035785,47041.00018594503,47431.595878437,75789.76906900652,5533.55392766875,4830.782411311909,11059.01761403705,1047.6649942017034,1071.670416480998,1709.8599448753228
2.6101572156825434e+17,4592.5774040482065,4453.697528078829,7692.391172448873,363.5460705644861,359.5485906068067,375.1293349761787,0.30925612678157754,0.2951977170937703,0.48895483742198853,794.6390450628649,770.3266079984426,1342.35472877948,43564.38891271824,43771.81586945415,70449.61553892063,5531.832190002175,4829.275996100781,11056.609131281848,1047.479506728265,1071.4834613192072,1709.6545996737168
2.8729848333536566e+17,4821.158674500133,4675.011623712678,8089.390386665451,375.4812478784216,371.3885500505493,386.0027378748305,0.2956380905975143,0.2820823960744394,0.4675372899923563,791.51944238681,767.2790177702356,1338.092537645172,40439.95196188879,40509.794847880265,65633.23043758553,5529.9015129708,4827.586631219042,11053.907554763195,1047.271829044353,1071.2741371608881,1709.424692944453
3.1622776601683795e+17,5083.480456460402,4929.029130021708,8543.841938069321,386.01660651316223,381.83499324523996,395.5037411242217,0.28195004994279405,0.26889202127638695,0.44609088584012624,788.3597264731902,764.1933138275606,1333.7452002854372,37628.33611135117,37597.84294057922,61281.75870743274,5527.739912018978,4825.695028667786,11050.881825880118,1047.0397119178908,1071.0401757652514,1709.1677359985501
3.48070058842842e+17,5382.995031130111,5219.094426444388,9061.653524091716,395.0402395956687,390.77643971741105,403.5356326112976,0.268407059436881,0.25583190641948356,0.4249543082381043,785.1671767445401,761.0765314837602,1329.321077727748,35093.40230024251,34992.418366878395,57341.44837812702,5525.323802431603,4823.580486141629,11047.498565317184,1046.7807653403956,1070.7791666675982,1708.8810844024404
3.831186849557277e+17,5723.320692191678,5548.7120632081405,9649.033320158693,402.49204882824483,398.15298249138186,410.050734571784,0.2552220718805839,0.24310528949238353,0.4044611709053145,781.9469361008042,757.9335946654733,1324.82579459049,32802.27006516202,32654.273282610804,53763.61243002167,5522.627888061727,4821.22078653097,11043.721900288778,1046.49245338322,1070.4885519232475,1708.5619323596616
